MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID6032431,283.133906624001,41,19,15,2,1,6,1,0,0.533333333333333,7,3,0,0,29.54,54.7963,1.674
DTXSID70236339,406.055875176,40,27,14,5,4,12,2,1,0.285714285714286,7,7,0,0,119.96,43.3909,2.871
DTXSID8024739,204.187800768,39,15,15,0,0,0,2,0,0.733333333333333,0,0,0,1,0,67.6872,0.362
DTXSID40470389,216.041226778,23,14,6,3,4,6,1,0,0,3,4,3,0,134.09,18.3481,0.663
DTXSID2058207,331.149618668001,43,24,18,1,3,11,4,1,0.444444444444444,5,4,1,1,50.41,45.5635,1.586
DTXSID2032554,423.124878736001,52,29,21,5,1,6,3,1,0.476190476190476,9,5,0,0,72.91,74.122,1.971
DTXSID50893848,359.155514660001,50,25,20,3,1,11,2,1,0.4,7,3,1,0,83.64,62.1676,2.256
DTXSID3024815,141.034526936,17,9,7,0,1,6,1,0,0.142857142857143,0,1,1,0,26.02,15.3398,1.082
DTXSID8026193,179.930033136,12,9,6,0,0,6,1,0,0,0,0,0,0,0,16.8468,0.852
DTXSID8026307,121.089149352,20,9,8,0,1,6,1,0,0.25,0,1,1,0,26.02,15.2263,0.963
